UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency,EnergyConsumptionHR
1,Smart Speaker,15.30718848,1.961606817,1,4,36,1,0.12814938677752533
2,Camera,19.97334329,8.610688922,1,0,29,1,0.43110904353759794
3,Security System,18.91153466,2.651776635,1,0,20,1,0.1402200658315056
4,Camera,7.011127368,2.34165309,0,3,15,0,0.3339909499701446
5,Camera,22.61068398,4.859069159,1,3,36,1,0.2149014670806964
6,Thermostat,3.422127274,5.038625135,1,0,3,1,1.472366376692511
7,Security System,21.06564004,2.229343765,0,0,56,0,0.10582843724505224
8,Security System,23.31709587,2.791421195,0,0,53,0,0.11971564600338884
9,Security System,4.663107796,1.780081868,1,2,23,1,0.3817372331660333
10,Camera,17.46855251,7.212755765,1,4,58,0,0.4128994523656729
11,Smart Speaker,1.446709691,7.723881409,0,3,54,0,5.3389297500738175
12,Security System,10.02743639,4.677052125,0,3,46,0,0.4664255092821387
13,Camera,12.63265753,7.169461525,1,1,9,1,0.5675339102618735
14,Thermostat,14.14516281,7.38576038,0,2,30,0,0.5221403584537462
15,Smart Speaker,22.49452533,1.468927724,0,0,19,1,0.06530156571212255
16,Thermostat,16.29789115,9.665162446,1,0,38,1,0.5930314760999001
17,Smart Speaker,11.81003185,8.228216276,1,2,3,1,0.6967141478115488
18,Camera,19.52736335,2.124386266,0,3,50,0,0.10879022569117094
19,Lights,22.83752129,1.943033854,1,0,48,1,0.0850807681502111
20,Smart Speaker,1.018554494,1.344045341,1,1,3,1,1.3195615442446813
21,Thermostat,23.5892499,1.469947769,1,3,34,1,0.06231430737439431
22,Camera,2.524105268,7.50680181,1,4,2,0,2.974044666507942
23,Smart Speaker,19.63808931,4.749577144,1,2,58,1,0.24185535919634737
24,Lights,7.087866685,7.85104831,0,3,27,0,1.10767437635574
25,Lights,3.606221957,7.487923454,0,4,23,0,2.07639006785627
26,Security System,10.83660753,6.085665864,1,1,42,0,0.5615840425292213
27,Security System,15.63297962,6.895029405,1,2,32,1,0.4410566362012567
28,Thermostat,9.452368358,0.281721671,1,0,47,1,0.029804347474626847
